n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.799,0.022,1.0,0.04,0.06,0.511,0.815,0.109,1.0,0.19,0.263,0.555,0.83,0.182,1.0,0.308,0.387,0.591
200,None,0.5,0.799,0.044,0.994,0.076,0.091,0.519,0.815,0.109,1.0,0.19,0.263,0.555,0.83,0.182,1.0,0.308,0.387,0.591
200,None,0.75,0.799,0.044,0.994,0.076,0.091,0.519,0.804,0.091,0.99,0.153,0.204,0.541,0.83,0.182,1.0,0.308,0.387,0.591
200,None,None,0.799,0.044,0.994,0.076,0.091,0.519,0.808,0.109,0.99,0.183,0.216,0.55,0.83,0.182,1.0,0.308,0.387,0.591
400,None,0.25,0.799,0.022,1.0,0.04,0.06,0.511,0.808,0.073,1.0,0.133,0.217,0.536,0.811,0.091,1.0,0.167,0.271,0.545
400,None,0.5,0.799,0.044,0.994,0.076,0.091,0.519,0.819,0.127,1.0,0.218,0.286,0.564,0.83,0.182,1.0,0.308,0.387,0.591
400,None,0.75,0.799,0.044,0.994,0.076,0.091,0.519,0.815,0.109,1.0,0.19,0.263,0.555,0.83,0.182,1.0,0.308,0.387,0.591
400,None,None,0.799,0.044,0.994,0.076,0.091,0.519,0.819,0.145,0.995,0.236,0.274,0.57,0.83,0.182,1.0,0.308,0.387,0.591
600,None,0.25,0.799,0.022,1.0,0.04,0.06,0.511,0.808,0.073,1.0,0.133,0.217,0.536,0.83,0.182,1.0,0.308,0.387,0.591
600,None,0.5,0.799,0.044,0.994,0.076,0.091,0.519,0.819,0.127,1.0,0.218,0.286,0.564,0.83,0.182,1.0,0.308,0.387,0.591
600,None,0.75,0.799,0.044,0.994,0.076,0.091,0.519,0.819,0.127,1.0,0.214,0.282,0.564,0.83,0.182,1.0,0.308,0.387,0.591
600,None,None,0.799,0.044,0.994,0.076,0.091,0.519,0.819,0.145,0.995,0.236,0.274,0.57,0.83,0.182,1.0,0.308,0.387,0.591
800,None,0.25,0.799,0.022,1.0,0.04,0.06,0.511,0.811,0.091,1.0,0.162,0.24,0.545,0.83,0.182,1.0,0.308,0.387,0.591
800,None,0.5,0.799,0.044,0.994,0.076,0.091,0.519,0.811,0.091,1.0,0.162,0.24,0.545,0.83,0.182,1.0,0.308,0.387,0.591
800,None,0.75,0.799,0.044,0.994,0.076,0.091,0.519,0.815,0.127,0.995,0.211,0.256,0.561,0.83,0.182,1.0,0.308,0.387,0.591
800,None,None,0.799,0.044,0.994,0.076,0.091,0.519,0.815,0.127,0.995,0.211,0.256,0.561,0.83,0.182,1.0,0.308,0.387,0.591
1000,None,0.25,0.799,0.022,1.0,0.04,0.06,0.511,0.811,0.091,1.0,0.162,0.24,0.545,0.83,0.182,1.0,0.308,0.387,0.591
1000,None,0.5,0.799,0.044,0.994,0.076,0.091,0.519,0.811,0.091,1.0,0.162,0.24,0.545,0.83,0.182,1.0,0.308,0.387,0.591
1000,None,0.75,0.799,0.044,0.994,0.076,0.091,0.519,0.819,0.127,1.0,0.214,0.282,0.564,0.83,0.182,1.0,0.308,0.387,0.591
1000,None,None,0.799,0.044,0.994,0.076,0.091,0.519,0.815,0.127,0.995,0.211,0.256,0.561,0.83,0.182,1.0,0.308,0.387,0.591
